"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"11","Patrik Elias","N.J","C","65","120.76666666667","2","4","3","1","6","100.00","3","66.67","0.22","8","6","2","0","1","0","2","1","1","0","0","0","2","7","0","2","2","14","28","33.33"
"549","Tyler Johnson","T.B","C","82","166.06666666667","5","1","1","0","6","85.71","13","38.46","2.03","18","17","17","9","7","0","0","0","0","0","0","3","4","3","3","4","9","83","106","43.92"
"572","Victor Hedman","T.B","D","75","161.68333333333","0","6","5","1","6","120.00","4","0.00","0.21","4","4","3","0","0","0","2","1","1","0","0","1","2","7","4","3","12","0","0","-"
"242","Lee Stempniak","CGY, PIT","R","73","97.616666666667","2","3","2","1","5","100.00","8","25.00","1.02","12","10","11","5","6","3","0","0","0","0","0","1","0","5","5","1","1","1","9","10.00"
"328","Andrew Cogliano","ANA","L","82","132.41666666667","3","2","2","0","5","83.33","12","25.00","1.9","22","18","16","7","2","0","4","2","2","0","0","4","2","3","5","3","6","3","9","25.00"
"369","Brad Marchand","BOS","L","82","127.5","5","0","0","0","5","100.00","13","38.46","1.24","14","13","11","7","1","1","2","1","1","0","0","1","3","6","6","9","6","0","1","0.00"
"406","Jonathan Toews","CHI","C","76","118.45","3","2","2","0","5","100.00","10","30.00","1.18","15","12","11","8","0","0","0","0","0","0","0","0","1","5","0","6","5","40","48","45.45"
"523","Adam Henrique","N.J","C","77","169.43333333333","3","2","2","0","5","71.43","14","21.43","1.41","20","18","12","7","4","0","0","0","0","0","0","1","0","11","3","0","9","51","55","48.11"
"728","Sean Couturier","PHI","C","82","282.26666666667","1","4","4","0","5","71.43","16","6.25","1.22","21","20","10","6","1","0","2","1","1","0","0","1","7","11","3","9","11","101","127","44.30"
"5","Saku Koivu","ANA","C","65","102.3","1","3","3","0","4","100.00","9","11.11","0.62","9","9","5","3","1","1","2","1","1","0","0","2","1","5","1","2","5","43","55","43.88"
"37","Marian Hossa","CHI","R","72","96.35","3","1","1","0","4","80.00","8","37.50","1.23","14","12","11","7","0","0","2","1","1","0","0","0","4","11","1","0","3","1","1","50.00"
"165","Rick Nash","NYR","R","65","33.05","2","2","2","0","4","100.00","5","40.00","0.49","6","5","4","3","0","0","0","0","0","0","0","0","0","3","0","2","2","2","0","100.00"
"204","Eric Staal","CAR","C","79","70.15","2","2","2","0","4","100.00","8","25.00","0.76","11","10","8","2","2","0","0","0","0","0","0","2","1","4","0","2","2","30","29","50.85"
"227","Patrice Bergeron","BOS","C","80","157.26666666667","1","3","3","0","4","66.67","9","11.11","0.83","16","13","10","3","1","0","4","2","2","0","0","0","2","8","5","6","12","128","108","54.24"
"282","Brandon Dubinsky","CBJ","C","76","163.56666666667","2","2","2","0","4","100.00","21","9.52","2.39","27","25","20","11","2","3","4","2","2","0","0","1","1","13","4","6","11","55","67","45.08"
"307","Daniel Winnik","ANA","L","76","194.21666666667","2","2","2","0","4","133.33","4","50.00","0.83","8","7","6","5","2","0","0","0","0","0","0","2","2","13","0","9","22","9","20","31.03"
